Player,GP,GS,MIN,PTS,FGM,FGA,FG%,3 Points Made,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF
Cade Cunningham,64.0,64.0,32.6,17.4,6.7,16.1,0.4,1.8,5.7,0.3,2.2,2.6,0.8,0.9,4.6,5.5,5.6,1.2,0.7,3.7,3.1
Jalen Suggs,48.0,45.0,27.2,11.8,4.1,11.4,0.4,0.9,4.1,0.2,2.6,3.4,0.8,0.5,3.0,3.6,4.4,1.2,0.4,3.0,3.0
Franz Wagner,79.0,79.0,30.7,15.2,5.8,12.3,0.5,1.2,3.4,0.4,2.4,2.8,0.9,1.1,3.4,4.5,2.9,0.9,0.4,1.5,2.1
Davion Mitchell,75.0,19.0,27.7,11.5,4.7,11.2,0.4,1.4,4.3,0.3,0.8,1.1,0.7,0.4,1.8,2.2,4.2,0.7,0.3,1.5,1.9
James Bouknight,31.0,0.0,9.8,4.6,1.6,4.6,0.3,0.6,1.6,0.3,0.9,1.0,0.9,0.7,1.0,1.7,0.8,0.2,0.0,0.5,0.9
Joshua Primo,50.0,16.0,19.3,5.8,2.0,5.4,0.4,0.8,2.7,0.3,0.9,1.2,0.7,0.6,1.6,2.3,1.6,0.4,0.5,1.1,1.6
Chris Duarte,55.0,39.0,28.0,13.1,4.9,11.3,0.4,1.7,4.6,0.4,1.6,2.0,0.8,0.8,3.4,4.1,2.1,1.0,0.2,1.6,1.7
Moses Moody,52.0,11.0,11.7,4.4,1.5,3.5,0.4,0.8,2.1,0.4,0.5,0.7,0.8,0.3,1.2,1.5,0.4,0.1,0.2,0.3,0.8
Corey Kispert,77.0,36.0,23.4,8.2,3.0,6.7,0.5,1.5,4.2,0.4,0.7,0.8,0.9,0.7,2.0,2.7,1.1,0.5,0.3,0.7,1.2
Trey Murphy III,62.0,1.0,13.9,5.4,1.8,4.5,0.4,1.2,3.0,0.4,0.7,0.8,0.9,0.8,1.6,2.4,0.6,0.4,0.1,0.3,1.0
Tre Mann,60.0,26.0,22.8,10.4,3.9,9.8,0.4,1.6,4.5,0.4,1.1,1.4,0.8,0.4,2.4,2.9,1.5,0.8,0.2,1.2,1.7
Jalen Johnson,22.0,0.0,5.5,2.4,1.0,1.9,0.5,0.1,0.6,0.2,0.2,0.3,0.7,0.1,1.1,1.2,0.1,0.1,0.1,0.4,0.4
Keon Johnson,37.0,12.0,18.8,7.2,2.6,7.4,0.4,0.9,2.7,0.3,1.1,1.4,0.8,0.7,1.5,2.2,2.1,0.8,0.3,1.2,1.9
Josh Christopher,74.0,2.0,18.0,7.9,3.0,6.8,0.4,0.8,2.6,0.3,1.1,1.5,0.7,0.7,1.8,2.5,2.0,0.9,0.2,1.5,1.3
Quentin Grimes,46.0,6.0,17.1,6.0,2.1,5.1,0.4,1.6,4.1,0.4,0.3,0.4,0.7,0.5,1.5,2.0,1.0,0.7,0.2,0.6,1.6
Cam Thomas,67.0,2.0,17.6,8.5,3.3,7.5,0.4,0.7,2.6,0.3,1.3,1.6,0.8,0.2,2.2,2.4,1.2,0.5,0.1,0.8,1.0
Jaden Springer,2.0,0.0,2.8,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,1.0,0.5,0.0
