Player,GP,GS,MIN,PTS,FGM,FGA,FG%,3 Points Made,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF
Jason Preston,13.0,0.0,9.4,3.2,1.4,3.2,0.4,0.4,1.4,0.3,0.0,0.2,0.0,0.2,1.5,1.7,2.1,0.2,0.0,0.8,0.5
Herbert Jones,78.0,69.0,29.9,9.5,3.5,7.4,0.5,0.7,2.2,0.3,1.8,2.1,0.8,1.3,2.5,3.8,2.1,1.7,0.8,1.3,3.1
Miles McBride,40.0,2.0,9.3,2.2,0.8,2.7,0.3,0.4,1.7,0.3,0.2,0.3,0.7,0.1,1.0,1.1,1.0,0.4,0.0,0.1,1.1
Ayo Dosunmu,77.0,40.0,27.4,8.8,3.6,7.0,0.5,0.9,2.4,0.4,0.7,1.0,0.7,0.4,2.4,2.8,3.3,0.8,0.4,1.4,2.4
Jared Butler,42.0,1.0,8.6,3.8,1.5,3.6,0.4,0.7,2.1,0.3,0.3,0.4,0.7,0.1,1.0,1.1,1.5,0.4,0.2,0.8,1.1
Joe Wieskamp,30.0,0.0,6.8,2.0,0.7,1.9,0.4,0.5,1.4,0.3,0.2,0.4,0.5,0.1,0.3,0.5,0.3,0.1,0.1,0.1,0.5
Dalano Banton,64.0,1.0,10.9,3.2,1.3,3.2,0.4,0.2,0.8,0.3,0.4,0.7,0.6,0.6,1.3,1.9,1.6,0.4,0.2,0.8,1.1
David Johnson,2.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sharife Cooper,13.0,0.0,3.0,0.5,0.2,1.1,0.2,0.1,0.5,0.2,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.0,0.0,0.4,0.1
Marcus Zegarowski,3.0,0.0,18.2,8.0,3.3,7.7,0.4,1.3,3.3,0.4,0.0,0.0,0.0,1.3,1.0,2.3,2.0,1.0,0.0,2.0,2.3
Filip Petrušev,4,3,17,4.25,1.75,4.75,0.368,0,0.75,0,0.75,1,0.75,1,1.75,2.75,0.75,0.5,2,0.5,2.5
Brandon Boston Jr.,51.0,0.0,14.9,6.7,2.5,6.4,0.4,0.7,2.2,0.3,1.2,1.4,0.8,0.3,1.8,2.2,1.0,0.5,0.3,0.6,0.8
Aaron Wiggins,50.0,35.0,24.2,8.3,3.1,6.7,0.5,0.8,2.8,0.3,1.2,1.7,0.7,1.0,2.5,3.6,1.4,0.6,0.2,1.1,1.9
Scottie Lewis,2.0,0.0,3.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
